id,name,english_name,type,org,group_name,photo_url,twitter,video_count,subscriber_count,clip_count,published_at,inactive,kind,main_idol_ids_json,topic_idol_ids_json,linked_idol_ids_json,updated_at
UCrEgFGxfrKGyy17V9csSa5w,Blue Journey,,vtuber,Hololive,,https://yt3.ggpht.com/8ek8V2m9_rXFTTCkcJJwfYJyEONv8z4-W2Pj4x5G-wXNYuO33feTrGrBTBCjNKXPilvy6oGaeQ=s800-c-k-c0x00ffffff-no-rj,,,,,,0,group,[],[],[],2026-07-01T22:28:55.536Z
UCnVbtCwr-5LXxUlGxsgD7sQ,Midnight Grand Orchestra,Midnight Grand Orchestra,vtuber,Hololive,,https://yt3.ggpht.com/xw973Y1LNOonqa1rTs0AIEojwoEk20dqBTOM9girxa0ATdQ4GWD8paQxAl5OyxelF5YoEraK5w=s800-c-k-c0x00ffffff-no-rj,,,,,,0,group,[],[],[],2026-07-01T22:28:55.536Z
UC3OH5FKQ3qtl4uRme_vZTgA,UNIT B (Pre-Debut) - mekPark,UNIT B [Pre-Debut],vtuber,Hololive,mekPark,https://yt3.ggpht.com/F891KmsWcmA-_LLQJuh0lQXn-gSf1CXnOgzvyoNYdm07e0BqldmGwX1RQe9Rpg3WavqKEMAREw=s800-c-k-c0x00ffffff-no-rj,Unit_B_official,42,97000,130,,0,group,[],[],[],2026-07-01T22:28:55.536Z
UCu2n3qHuOuQIygREMnWeQWg,hololive DEV_IS FLOW GLOW,,vtuber,Hololive,,https://yt3.ggpht.com/f9oGulIUN9RbJyNpc-WT3d5aJGJ_9p1Mug3WV6ZkBBQtImvYSusfmMbW03KMY8jZf1kJsHu3jOs=s800-c-k-c0x00ffffff-no-rj,,,,,,0,group,[],[],[],2026-07-01T22:28:55.536Z
UC10wVt6hoQiwySRhz7RdOUA,hololive DEV_IS ReGLOSS,,vtuber,Hololive,Official,https://yt3.ggpht.com/VSEPzRMRZy7FNnZmFujYmVgG24tdNxaLYxfbnQT998wkxBBKm-1VAOq-rbsNZJ-hghM4Ov3FyQ=s800-c-k-c0x00ffffff-no-rj,hololivetv,728,585000,1210,,0,group,[],[],[],2026-07-01T22:28:55.536Z
UCotXwY6s8pWmuWd_snKYjhg,hololive English,,vtuber,Hololive,,https://yt3.ggpht.com/RhkoXVesjeO80YBwpSvFz_WtaEptXbXLZ0JncX9zzI4q9eYzlgOnNapKkFd5mzjj1kVTUHytJA=s800-c-k-c0x00ffffff-no-rj,,,,,,0,group,[],[],[],2026-07-01T22:28:55.536Z
UCfrWoRGlawPQDQxxeIDRP0Q,hololive Indonesia,,vtuber,Hololive,Official,https://yt3.ggpht.com/ytc/AIdro_nqRoQYVOioAVLFHDrRP_y8Ri4zAUoq3kxEdHrQQLyrp44=s800-c-k-c0x00ffffff-no-rj,hololive_id,263,589000,478,,0,group,[],[],[],2026-07-01T22:28:55.536Z
UCJFZiqLMntJufDCHc6bQixg,hololive ホロライブ - VTuber Group,hololive VTuber Group,vtuber,Hololive,,https://yt3.ggpht.com/aDD5WjpOtpuZO8QLEVnDI5pX-fjUNcKo5XM0gTpMvWlCxwG5dowWHAUhaooKl7nCstEM_-87=s800-c-k-c0x00ffffff-no-rj,,,,,,0,group,[],[],[],2026-07-01T22:28:55.536Z
UC0TXe_LYZ4scaW2XMyi5_kw,AZKi Channel,AZKi,vtuber,Hololive,0th Generation,https://yt3.ggpht.com/tRZGMhn8vSvYE0_15SjaE_3dTH5JTZzjdnb5gs1StecT1tKn1gQ2tVkRfi_n42Q5fYz13ewdayo=s800-c-k-c0x00ffffff-no-rj,AZKi_VDiVA,1356,1320000,6472,,0,idol,"[""azki""]",[],"[""azki""]",2026-07-01T22:28:55.536Z
UCAoy6rzhSf4ydcYjJw3WoVg,Airani Iofifteen Channel hololive-ID,Airani Iofifteen,vtuber,Hololive,Indonesia 1st Gen (AREA 15),https://yt3.ggpht.com/ghhBoD-8O908tlUkF45A49D5jbEOkzYR7dgxweO-sOdtlOvE21BLtVSpn6w4sapj4YEtAVoc=s800-c-k-c0x00ffffff-no-rj,airaniiofifteen,1737,822000,3682,,0,idol,"[""airani-iofifteen""]",[],"[""airani-iofifteen""]",2026-07-01T22:28:55.536Z
