removed_youtube_video_id,removed_title,kept_youtube_video_id,kept_title,reason,song_name,removed_published_at,kept_published_at,source_run_id,updated_at
-1_JOot5X64,毒の王子さま (ぽいずにゃ~しんどろーむ ver.),M8UmWCeIKyQ,毒の王子さま / 猫又おかゆ(official),topic_duplicate_of_non_topic,毒の王子さま / Doku no Oujisama,2022-09-05T10:07:33.000Z,2022-05-27T13:00:12.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-3HDhazL-FA,擬態ごっこ,rtw9iea8QIw,沙花叉クロヱ MV - 「擬態ごっこ」,topic_duplicate_of_non_topic,擬態ごっこ / Marionette,2023-01-07T10:02:38.000Z,2023-01-07T13:30:09.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-4CKzApZ17o,ENDLESS FES,Wr10_8s_yAQ,【オリジナル曲】ENDLESS FES【ホロライブ/夏色まつり/ FAKE TYPE.】,topic_duplicate_of_non_topic,ENDLESS FES,2026-02-24T15:02:09.000Z,2024-11-01T12:15:06.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-62JZe75avk,フレ!フレ!エルフレ!,sCM9BcMWrkA,【original】フレ!フレ!エルフレ!(Prod. ヒゲドライバー)【ホロライブ/不知火フレア】,topic_duplicate_of_non_topic,フレ!フレ!エルフレ! / Hurray! Hurray! Elf-Friend!,2023-09-22T15:02:20.000Z,2022-08-07T13:15:15.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-7cYjcTL7OE,Going My Way,2Z6f4XNNOls,Going My Way / AZKi × 星街すいせい (official),topic_duplicate_of_non_topic,Going My Way,2026-05-18T22:56:36.000Z,2026-05-19T10:00:06.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-JkaMtg62AM,MIRAGE,LIOTD5ndZEE,MIRAGE - Takanashi Kiara (Official Music Video),topic_duplicate_of_non_topic,MIRAGE,2026-02-07T15:02:36.000Z,2024-10-06T01:00:07.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-Qq2prFdehg,You're Mine,KFFtUqQVLrI,【MV】You're Mine - Vestia Zeta 【Original Song】,topic_duplicate_of_non_topic,You're Mine,2023-10-15T15:04:50.000Z,2023-10-15T14:15:08.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-SEjhh20RJo,ピパポ☆ピピプ,3evlcnHqiJ0,【 MV 】ピパポ☆ピピプ 【 宝鐘マリン/白上フブキ 】,topic_duplicate_of_non_topic,ピパポ☆ピピプ / Pipapo☆pipipu,2024-03-20T15:01:15.000Z,2024-03-22T07:30:02.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-SVnNF0GXO4,LOVE受信、ヒクツ発信,80vy5YyMKF8,【original anime MV】LOVE受信、ヒクツ発信【 hololive/桃鈴ねね 】,topic_duplicate_of_non_topic,LOVE受信、ヒクツ発信,2025-03-02T15:02:12.000Z,2025-03-02T11:50:06.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-TKaneIQWic,全人類 兎化計画!,Yzdie2uH0N4,【MV】『全人類 兎化計画!』【ホロライブ/兎田ぺこら】,topic_duplicate_of_non_topic,全人類 兎化計画! / Zenjinrui Usagika keikaku!,2023-11-26T15:01:41.000Z,2023-01-01T12:30:08.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-ZAt2h947rU,未だ、青い,16WxRVoTAx0,【あくありうむ。主題歌】未だ、青い/湊あくあ【マンガMV】,topic_duplicate_of_non_topic,未だ、青い / Stay Blue,2022-08-08T10:03:38.000Z,2022-08-11T13:00:13.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-ckmhMkwySY,アンリアルヴェイル,eMxyel5LP8Y,【Original Song MV】アンリアルヴェイル【Anya Melfissa】,topic_duplicate_of_non_topic,アンリアルヴェイル / Unreal Veil,2023-07-28T15:03:16.000Z,2023-08-03T12:00:08.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-dgu3APsyZw,自分勝手Dazzling (Still Still Stellar ver.),Mm87JgTx2Ao,【DanceMV】自分勝手Dazzling / 星街すいせい(official),topic_duplicate_of_non_topic,自分勝手Dazzling / Jibunkatte Dazzling,2021-09-28T10:05:33.000Z,2021-08-21T12:15:13.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-fDdthQKRxo,ウィーゴー!~白上フブキ、宝鐘マリン、角巻わため with 大槻マキ Ver.~,z3p7K_JDTiA,「ウィーゴー!~hololive ver.~」ミュージックビデオ,topic_duplicate_of_non_topic,ウィーゴー! / We Go! ～hololive ver.～,2025-02-02T10:01:22.000Z,2025-04-01T08:00:52.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-h6BxW8jEmE,最強女神†ウーサペコラ,qW2EN6fyftY,最強女神†ウーサペコラ,topic_duplicate_without_non_topic,最強女神†ウーサペコラ,2023-11-26T15:03:22.000Z,2023-10-29T15:03:52.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-kXR71zGy3o,diorama,Lxr3BV-t0Tc,【IRyS】diorama 【1st EP Original Song MV】,topic_duplicate_of_non_topic,Diorama,2021-07-11T10:03:53.000Z,2021-09-05T01:00:09.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-lgkUWu72s8,Juara Khatulistiwa,u7oCq65-S5w,Juara Khatulistiwa - hololive ID [Original Song],topic_duplicate_of_non_topic,Juara Khatulistiwa,2025-04-06T15:02:10.000Z,2025-04-06T14:00:06.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-n3_Z4mNlQs,Die For You,GZVRO1IxHlA,【Performance Video】Die For You - Mori Calliope,topic_duplicate_of_non_topic,Die For You,2025-05-17T04:00:00.000Z,2025-05-25T11:00:36.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
-nzt4srDgFM,ERROR,bjLzXSM4yRY,【12thオリジナルソング】ERROR/AZKi【AZKi BLaCK】,topic_duplicate_of_non_topic,ERROR / Error,2022-11-30T10:05:33.000Z,2019-07-31T12:58:13.000Z,c6b716e6-439a-4926-8bf3-b5bb8342b0eb,2026-07-08T05:47:03.657Z
