youtube_video_id,view_count,fetched_at
--xdFW4-XNA,632,2026-06-29T16:45:18.277Z
-4ZiokRXZ6g,425042,2026-06-29T16:45:18.277Z
-4vCJggx2LY,4908141,2026-06-29T16:45:18.277Z
-50Y21x-pUQ,1355632,2026-06-29T16:45:18.277Z
-7zY0TkIFG4,3422403,2026-06-29T16:45:18.277Z
-8QcF1vZ0CY,57667,2026-06-29T16:45:18.277Z
-9wUbw5qevU,3049169,2026-06-29T16:45:18.277Z
-AuQZrUHjhg,19000386,2026-06-29T16:45:18.277Z
-BI2YFYWnjc,1361574,2026-06-29T16:45:18.277Z
-EHqt_WtpGA,194786,2026-06-29T16:45:18.277Z
-FLiBqQMHWk,975502,2026-06-29T16:45:18.277Z
-Jth3Vp85tA,11599749,2026-06-29T16:45:18.277Z
-NjjaUG0CFc,384303,2026-06-29T16:45:18.277Z
-P6sDt0Yh30,472028,2026-06-29T16:45:18.277Z
-VQx0MtsvSQ,1818542,2026-06-29T16:45:18.277Z
-X4CywaSfbI,449155,2026-06-29T16:45:18.277Z
-Xc3TQCsyN8,1325515,2026-06-29T16:45:18.277Z
-_iTJtH7QAU,1573401,2026-06-29T16:45:18.277Z
-a9hq46v0Tk,1118723,2026-06-29T16:45:18.277Z
-aB6MQU8l1s,11787671,2026-06-29T16:45:18.277Z
-abAMimXVOc,1834954,2026-06-29T16:45:18.277Z
-fDdthQKRxo,419193,2026-06-29T16:45:18.277Z
-gyqLWiMS74,545526,2026-06-29T16:45:18.277Z
-iuNKwx_tCI,556576,2026-06-29T16:45:18.277Z
-ivI-Vb920I,492161,2026-06-29T16:45:18.277Z
-knzJF4pp1g,58091,2026-06-29T16:45:18.277Z
-l-tjkhs3Uk,975541,2026-06-29T16:45:18.277Z
-n4UgB4GdTE,493934,2026-06-29T16:45:18.277Z
-pfI25EsoRs,1075079,2026-06-29T16:45:18.277Z
-rugMs1shyA,257469,2026-06-29T16:45:18.277Z
-t8Za0T1T8M,3255179,2026-06-29T16:45:18.277Z
-wNSFmqhQsU,22591128,2026-06-29T16:45:18.277Z
-wUoa78bhr8,2962,2026-06-29T16:45:18.277Z
-wV0AH0u8ik,1590668,2026-06-29T16:45:18.277Z
0-AZJj1ODbY,302723,2026-06-29T16:45:18.277Z
03bbzlaPhvQ,2815180,2026-06-29T16:45:18.277Z
063INZy-ZtM,1265771,2026-06-29T16:45:18.277Z
07-9J8VyUF8,8405,2026-06-29T16:45:18.277Z
07KOLCi_j20,1178091,2026-06-29T16:45:18.277Z
07alVKGB-Aw,1315165,2026-06-29T16:45:18.277Z
08J6WAmX100,2492083,2026-06-29T16:45:18.277Z
08zYuyX3mRo,628712,2026-06-29T16:45:18.277Z
09Px3t9B7yo,489141,2026-06-29T16:45:18.277Z
09UOuVuFs08,425476,2026-06-29T16:45:18.277Z
09srHEBc48g,261426,2026-06-29T16:45:18.277Z
09xVC-xun_c,1016910,2026-06-29T16:45:18.277Z
0BBZs5rZktc,892145,2026-06-29T16:45:18.277Z
0Dr_qvnXJPE,5562725,2026-06-29T16:45:18.277Z
0DzqJQggP9s,2108984,2026-06-29T16:45:18.277Z
0ExV_DybnhA,19399,2026-06-29T16:45:18.277Z
0FFmK1l421o,68347,2026-06-29T16:45:18.277Z
0HmntAvK-GM,2275705,2026-06-29T16:45:18.277Z
0Jvss8cjpec,1992767,2026-06-29T16:45:18.277Z
0K3F4QCb96A,382070,2026-06-29T16:45:18.277Z
0KjaQqTuMvM,50217,2026-06-29T16:45:18.277Z
0LEc7es4_rE,13074995,2026-06-29T16:45:18.277Z
0LGn4esfu2M,556257,2026-06-29T16:45:18.277Z
0NotLCj8E7Q,327233,2026-06-29T16:45:18.277Z
0OtNQEpSeIA,9543018,2026-06-29T16:45:18.277Z
0P653bFzVVg,419528,2026-06-29T16:45:18.277Z
0PN_xbRCxjk,115068,2026-06-29T16:45:18.277Z
0RG7iNERF4s,3844543,2026-06-29T16:45:18.277Z
0RMVJTLZOzQ,2284527,2026-06-29T16:45:18.277Z
0VEWb2dcicI,527043,2026-06-29T16:45:18.277Z
0Y5rxlA0dc8,702361,2026-06-29T16:45:18.277Z
0YX80lIi36w,749360,2026-06-29T16:45:18.277Z
0bcMdh0XHhs,106700,2026-06-29T16:45:18.277Z
0bo6MVQxY6Y,1869522,2026-06-29T16:45:18.277Z
0cqi-fdrL1c,247063,2026-06-29T16:45:18.277Z
0cy6y2VTbk4,502084,2026-06-29T16:45:18.277Z
0e9cWmW5XfE,118374,2026-06-29T16:45:18.277Z
0eKxcDWuE0g,979623,2026-06-29T16:45:18.277Z
